"","drv_regionid","region","region_abbr","species_name","species_abbr","pooledcuid","cuid","primarycu","cu_name_pse","cu_name_dfo","cu_index","gen_length","regionid","sppqualifiedid"
"1",1,"Skeena","SKNA","Lake sockeye","SEL",171,171,TRUE,"Alastair","Alastair","SEL-20-01",6,1,1
"2",1,"Skeena","SKNA","Lake sockeye","SEL",174,174,TRUE,"Ecstall/Lower","Ecstall/Lower","SEL-20-04",5,1,1
"3",1,"Skeena","SKNA","Lake sockeye","SEL",175,175,TRUE,"Johnston","Johnston","SEL-20-05",5,1,1
"4",1,"Skeena","SKNA","Lake sockeye","SEL",176,176,TRUE,"Kitsumkalum","Kitsumkalum","SEL-20-06",5,1,1
"5",1,"Skeena","SKNA","Lake sockeye","SEL",177,177,TRUE,"Lakelse","Lakelse","SEL-20-07",5,1,1
"6",1,"Skeena","SKNA","Lake sockeye","SEL",178,172,FALSE,"Mcdonell/Dennis/Aldrich","Aldrich","SEL-20-02",-989898,1,1
"7",1,"Skeena","SKNA","Lake sockeye","SEL",178,173,FALSE,"Mcdonell/Dennis/Aldrich","Dennis","SEL-20-03",-989898,1,1
"8",1,"Skeena","SKNA","Lake sockeye","SEL",178,178,TRUE,"Mcdonell/Dennis/Aldrich","Mcdonell","SEL-20-08",5,1,1
"9",1,"Skeena","SKNA","Lake sockeye","SEL",180,180,TRUE,"Babine/Onerka","Babine","SEL-21-02",5,1,1
"10",1,"Skeena","SKNA","Lake sockeye","SEL",180,243,FALSE,"Babine/Onerka","Onerka","SEL-21-13",-989898,1,1
"11",1,"Skeena","SKNA","Lake sockeye","SEL",181,181,TRUE,"Bulkley/Maxan","Bulkley","SEL-21-03",5,1,1
"12",1,"Skeena","SKNA","Lake sockeye","SEL",181,184,FALSE,"Bulkley/Maxan","Maxan","SEL-21-06",-989898,1,1
"13",1,"Skeena","SKNA","Lake sockeye","SEL",183,183,TRUE,"Gitanyow (Kitwanga/Kitwancool)","Gitanyow","SEL-21-05",5,1,1
"14",1,"Skeena","SKNA","Lake sockeye","SEL",185,179,FALSE,"Morice/Atna","Atna","SEL-21-01",-989898,1,1
"15",1,"Skeena","SKNA","Lake sockeye","SEL",185,185,TRUE,"Morice/Atna","Morice","SEL-21-07",6,1,1
"16",1,"Skeena","SKNA","Lake sockeye","SEL",186,186,TRUE,"Nilkitkwa","Nilkitkwa","SEL-21-02-LW",5,1,1
"17",1,"Skeena","SKNA","Lake sockeye","SEL",187,187,TRUE,"Stephens","Stephens","SEL-21-09",5,1,1
"18",1,"Skeena","SKNA","Lake sockeye","SEL",188,182,FALSE,"Swan/Club","Club Lake","-989898",-989898,1,1
"19",1,"Skeena","SKNA","Lake sockeye","SEL",188,188,TRUE,"Swan/Club","Swan","SEL-21-10",5,1,1
"20",1,"Skeena","SKNA","Lake sockeye","SEL",189,189,TRUE,"Tahlo/Morrison","Tahlo/Morrison","SEL-21-11",5,1,1
"21",1,"Skeena","SKNA","Lake sockeye","SEL",190,190,TRUE,"Asitika","Asitika","SEL-22-01",5,1,1
"22",1,"Skeena","SKNA","Lake sockeye","SEL",191,191,TRUE,"Azuklotz","Azuklotz","SEL-22-02",5,1,1
"23",1,"Skeena","SKNA","Lake sockeye","SEL",192,192,TRUE,"Bear","Bear","SEL-22-03",5,1,1
"24",1,"Skeena","SKNA","Lake sockeye","SEL",193,193,TRUE,"Damshilgwit","Damshilgwit","SEL-22-04",5,1,1
"25",1,"Skeena","SKNA","Lake sockeye","SEL",194,194,TRUE,"Johanson","Johanson","SEL-22-05",5,1,1
"26",1,"Skeena","SKNA","Lake sockeye","SEL",195,195,TRUE,"Kluatantan","Kluatantan","SEL-22-06",5,1,1
"27",1,"Skeena","SKNA","Lake sockeye","SEL",196,196,TRUE,"Kluayaz","Kluayaz","SEL-22-07",5,1,1
"28",1,"Skeena","SKNA","Lake sockeye","SEL",197,197,TRUE,"Motase","Motase","SEL-22-08",5,1,1
"29",1,"Skeena","SKNA","Lake sockeye","SEL",198,198,TRUE,"Sicintine","Sicintine","SEL-22-09",5,1,1
"30",1,"Skeena","SKNA","Lake sockeye","SEL",199,199,TRUE,"Slamgeesh","Slamgeesh","SEL-22-10",5,1,1
"31",1,"Skeena","SKNA","Lake sockeye","SEL",200,200,TRUE,"Spawning","Spawning","SEL-22-11",5,1,1
"32",1,"Skeena","SKNA","Lake sockeye","SEL",201,201,TRUE,"Sustut","Sustut","SEL-22-12",5,1,1
"33",1,"Skeena","SKNA","Lake sockeye","SEL",203,204,FALSE,"Babine (enhanced)","Babine-Pinkut","-989898",-989898,1,1
"34",1,"Skeena","SKNA","Lake sockeye","SEL",203,203,TRUE,"Babine (enhanced)","Babine (enhanced)","SEL-21-02-F",5,1,1
"35",1,"Skeena","SKNA","Lake sockeye","SEL",230,230,TRUE,"Footsore/Hodder","Footsore/Hodder","SEL-21-12",-989898,1,1
"36",1,"Skeena","SKNA","River sockeye","SER",216,216,TRUE,"Skeena River-High Interior (river-type)","Skeena River-high interior","SER-19",5,1,2
