"Species","Region","Year","prov_runsize_raw","prov_runsize_relative"
"Chinook","CC",1985,56851,60.5126185483613
"Chinook","CC",1986,59863,63.7186132901894
"Chinook","CC",1987,41204,43.8578377630417
"Chinook","CC",1988,40750,43.3745968557409
"Chinook","CC",1989,48512,51.6365262003853
"Chinook","CC",1990,49337,52.5146622103482
"Chinook","CC",1991,41247,43.9036072762882
"Chinook","CC",1992,69316,73.7804553534364
"Chinook","CC",1993,79041,84.1318161981501
"Chinook","CC",1994,48501,51.6248177202525
"Chinook","CC",1995,53852,57.3204611012358
"Chinook","CC",1996,43666,46.4784084982278
"Chinook","CC",1997,43817,46.6391339982331
"Chinook","CC",1998,56117,59.7313436013156
"Chinook","CC",1999,47983,51.0734547467243
"Chinook","CC",2000,58857,62.6478195616771
"Chinook","CC",2001,58485,62.2518600517302
"Chinook","CC",2002,49744,52.9478759752632
"Chinook","CC",2003,44298,47.1511139022235
"Chinook","CC",2004,54106,57.5908205515759
"Chinook","CC",2005,67383,71.7229560719114
"Chinook","CC",2006,64071,68.1976391446423
"Chinook","CC",2007,43047,45.8195403889344
"Chinook","CC",2008,33208,35.3468371137532
"Chinook","CC",2009,41490,44.1622582464954
"Chinook","CC",2010,42089,44.7998382100927
"Chinook","CC",2011,41077,43.7226580378716
"Chinook","CC",2012,20070,21.3626542060054
"Chinook","CC",2013,56544,60.1858455119267
"Chinook","CC",2014,48955,52.1080586275532
"Chinook","CC",2015,93949,100
"Chinook","CC",2016,60630,64.5350136776336
"Chinook","CC",2017,32902,35.0211284846033
"Chinook","Nass",1986,48930,100
"Chinook","Nass",1987,27449,56.098508072757
"Chinook","Nass",1988,21690,44.3286327406499
"Chinook","Nass",1989,37153,75.9309217249131
"Chinook","Nass",1990,33728,68.9311260985081
"Chinook","Nass",1991,12771,26.1005518087063
"Chinook","Nass",1992,35810,73.1861843449826
"Chinook","Nass",1993,45916,93.8401798487635
"Chinook","Nass",1994,42760,87.3901491927243
"Chinook","Nass",1995,21849,44.653586756591
"Chinook","Nass",1996,42061,85.9615777641529
"Chinook","Nass",1997,36694,74.9928469241774
"Chinook","Nass",1998,46174,94.3674637236869
"Chinook","Nass",1999,29353,59.9897813202534
"Chinook","Nass",2000,33122,67.692622113223
"Chinook","Nass",2001,47688,97.4616799509503
"Chinook","Nass",2002,28609,58.4692417739628
"Chinook","Nass",2003,43866,89.6505211526671
"Chinook","Nass",2004,33726,68.9270386266094
"Chinook","Nass",2005,27887,56.9936644185571
"Chinook","Nass",2006,44127,90.1839362354384
"Chinook","Nass",2007,39345,80.4107909258124
"Chinook","Nass",2008,30084,61.4837522992029
"Chinook","Nass",2009,39798,81.3366033108522
"Chinook","Nass",2010,27787,56.7892908236256
"Chinook","Nass",2011,18647,38.1095442468833
"Chinook","Nass",2012,15888,32.4708767627223
"Chinook","Nass",2013,16477,33.674637236869
"Chinook","Nass",2014,22324,45.6243613325158
"Chinook","Nass",2015,32411,66.2395258532598
"Chinook","Nass",2016,17676,36.1250766400981
"Chinook","Nass",2017,10745,21.9599427753934
"Chinook","Skeena",1984,87861,38.239006302009
"Chinook","Skeena",1985,160644,69.9157410953658
"Chinook","Skeena",1986,162622,70.7766094495317
"Chinook","Skeena",1987,106591,46.3907071480798
"Chinook","Skeena",1988,229768,100
"Chinook","Skeena",1989,135427,58.9407576337871
"Chinook","Skeena",1990,136847,59.5587723268688
"Chinook","Skeena",1991,197494,85.9536576024512
"Chinook","Skeena",1992,158683,69.0622715086522
"Chinook","Skeena",1993,175602,76.4257860102364
"Chinook","Skeena",1994,68812,29.9484697608022
"Chinook","Skeena",1995,111498,48.5263396121305
"Chinook","Skeena",1996,163263,71.0555865046482
"Chinook","Skeena",1997,100109,43.5696006406462
"Chinook","Skeena",1998,91127,39.6604400960969
"Chinook","Skeena",1999,112684,49.0425124473382
"Chinook","Skeena",2000,137256,59.736777967341
"Chinook","Skeena",2001,178191,77.5525747710734
"Chinook","Skeena",2002,92962,40.4590717593399
"Chinook","Skeena",2003,113221,49.2762264545106
"Chinook","Skeena",2004,82152,35.7543261028516
"Chinook","Skeena",2005,87479,38.0727516451377
"Chinook","Skeena",2006,112443,48.9376240381602
"Chinook","Skeena",2007,98476,42.8588837436022
"Chinook","Skeena",2008,108533,47.2359075241113
"Chinook","Skeena",2009,76430,33.2639880227012
"Chinook","Skeena",2010,79154,34.4495317015424
"Chinook","Skeena",2011,79916,34.7811705720553
"Chinook","Skeena",2012,75394,32.8130984297204
"Chinook","Skeena",2015,82374,35.8509453013475
"Chinook","Skeena",2016,78619,34.2166881375997
"Chinook","Skeena",2017,30337,13.2033181295916
"Chum","CC",1954,2257484,56.4160145145752
"Chum","CC",1955,1177257,29.4204291146184
"Chum","CC",1956,1337402,33.4225583188283
"Chum","CC",1957,1942137,48.5352849372547
"Chum","CC",1958,2410322,60.2355369680582
"Chum","CC",1959,710534,17.7567134283562
"Chum","CC",1960,1081231,27.0206760223367
"Chum","CC",1961,900946,22.5152349309446
"Chum","CC",1962,1888966,47.2065065681701
"Chum","CC",1963,1745012,43.6090011358255
"Chum","CC",1964,2173062,54.3062530379271
"Chum","CC",1965,806527,20.1556418288665
"Chum","CC",1966,2507548,62.665278852029
"Chum","CC",1967,1375028,34.3628568822403
"Chum","CC",1968,3054638,76.33741888969
"Chum","CC",1969,1250541,31.2518446230721
"Chum","CC",1970,2729329,68.2077323600304
"Chum","CC",1971,1106953,27.6634857721926
"Chum","CC",1972,2609198,65.2055794146938
"Chum","CC",1973,3041673,76.0134149861489
"Chum","CC",1974,1892977,47.306744104391
"Chum","CC",1975,796484,19.9046606330884
"Chum","CC",1976,1048608,26.2054057296086
"Chum","CC",1977,1133994,28.3392582022469
"Chum","CC",1978,1768164,44.1875848901473
"Chum","CC",1979,1144456,28.6007104844564
"Chum","CC",1980,1375013,34.3624820223441
"Chum","CC",1981,1144274,28.5961621843836
"Chum","CC",1982,1589401,39.7201795828809
"Chum","CC",1983,1084854,27.111217182578
"Chum","CC",1984,954202,23.8461375061071
"Chum","CC",1985,2013145,50.3098217041381
"Chum","CC",1986,3736369,93.3743263455284
"Chum","CC",1987,1578661,39.4517798972634
"Chum","CC",1988,3293164,82.2983409950531
"Chum","CC",1989,1393399,34.8219602923407
"Chum","CC",1990,2600158,64.9796638506358
"Chum","CC",1991,1207804,30.1838187977243
"Chum","CC",1992,817312,20.4251660941723
"Chum","CC",1993,1003376,25.0750282082072
"Chum","CC",1994,1837590,45.9225864333205
"Chum","CC",1995,2338175,58.4325358397299
